ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;RotationW;ScaleFactor;ModelId;Type;FileDataID;DoodadSetIndexes;DoodadSetNames
..\..\world\expansion02\doodads\lakewintergrasp\trees\wintergrasp_tree_02.obj;14731.5986328125;399.485595703125;11716.3984375;22.108896255493164;328;-1.9227324724197388;;0.5185546875;23096791;m2;196104;0;
..\..\world\expansion02\doodads\lakewintergrasp\trees\wintergrasp_tree_02.obj;14763.4892578125;416.2993469238281;11729.77734375;14.586589813232422;15.5;20.438491821289062;;0.2998046875;23096792;m2;196104;0;
..\..\world\generic\goblin\passivedoodads\goblintents\goblintent07.obj;14419.4609375;409.08819580078125;11667.56640625;0;351;0;;2.58984375;23096761;m2;197797;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_01.obj;14786.0009765625;532.8914794921875;11314.8125;-3.4090981483459473;223.5592041015625;22.635726928710938;;1.197265625;23096692;m2;196071;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_02.obj;14794.4091796875;523.6703491210938;11257.193359375;-1.6780786514282227;329.250244140625;-5.133874416351318;;0.8173828125;23096731;m2;196072;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_02.obj;14783.919921875;531.2478637695312;11305.1123046875;-15.0323486328125;261.88958740234375;15.032346725463867;;0.904296875;23096732;m2;196072;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_03.obj;14847.935546875;515.3726806640625;11277.01171875;5.078354358673096;67.8585205078125;-1.7339996099472046;;0.9853515625;23093130;m2;196073;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_03.obj;14882.6142578125;512.6106567382812;11406.3623046875;1.6780786514282227;31.9052734375;-6.794248580932617;;0.794921875;23093131;m2;196073;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_01.obj;14877.494140625;513.8142700195312;11410.5185546875;0;23.58642578125;-10.132413864135742;;0.9228515625;23096693;m2;196071;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_04.obj;14811.4248046875;519.6776733398438;11222.08203125;-10.132416725158691;310.69525146484375;-11.804019927978516;;1.7529296875;23096694;m2;196074;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_06.obj;14811.498046875;519.8202514648438;11224.5029296875;11.8040189743042;120.51270294189453;11.8040189743042;;1.8798828125;23096743;m2;196076;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_06.obj;14848.5029296875;515.2297973632812;11281.087890625;-5.078354358673096;225.8308563232422;3.4090991020202637;;1.88671875;23096747;m2;196076;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_04.obj;14883.1015625;513.6389770507812;11412.1484375;-6.794248104095459;283.6866455078125;1.6780784130096436;;1.2578125;23096695;m2;196074;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_06.obj;14780.083984375;532.3709716796875;11302.6171875;19.667978286743164;136.42138671875;3.409099578857422;;1.58984375;23096748;m2;196076;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_06.obj;14790.12109375;524.2899169921875;11251.982421875;0;66.9088134765625;-1.733999252319336;;1.4853515625;23096745;m2;196076;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_06.obj;14853.3330078125;514.8887939453125;11277.9482421875;5.0783538818359375;94.63909912109375;1.7339991331100464;;1.404296875;23096746;m2;196076;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_06.obj;14671.4404296875;543.3383178710938;11247.9462890625;1.7339993715286255;216.129638671875;11.804018020629883;;1.0966796875;23096744;m2;196076;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_05.obj;14781.083984375;531.6129760742188;11299.65625;21.191076278686523;112.536376953125;-3.4090986251831055;;1.9765625;23099540;m2;196075;0;
..\..\world\expansion02\doodads\icecrown\rocks\icecrown_rock_05.obj;14643.4873046875;544.7705688476562;11234.7822265625;3.4090988636016846;58.00958251953125;-6.794248104095459;;1.9921875;23098383;m2;196075;0;
